ER	EC
0	3
0	29
0	38
0	0
0	18
0	6
0	18
0	11
0	19
0	32
0	33
0	133
0	19
0	0
0	13
0	5
0	5
0	27
0	39
0	110
0	31
0	50
0	0
0	34
0	220
0	78
0	27
1	23
1	15
1	15
2	35
2	34
2	15
2	19
2	16
2	0
3	14
3	115
6	22
8	53
8	15
11	64
12	28
12	52
15	14
16	0
19	11
20	11
20	20
20	14
22	7
24	5
25	0
26	12
28	20
30	11
30	11
31	20
33	13
33	52
33	19
33	29
34	24
35	25
38	0
38	19
39	0
40	35
44	0
45	0
46	28
48	4
49	0
56	29
57	2
57	15
57	11
58	0
58	28
59	0
59	9
61	0
64	1
67	0
70	0
72	0
73	5
79	2
81	3
81	8
84	0
87	0
88	25
89	2
94	28
96	2
96	4
103	29
118	13
137	0
157	4
168	5
203	50
